Date,Species,Strain,Egg,Length,Width,V=1/6(3.14159)W^2L,Order,N
10/17/25,Dsec,7,1,0.712,0.31,0.0358,A,30
10/17/25,Dsec,7,2,0.796,0.345,0.0496,A,
10/17/25,Dsec,7,3,0.743,0.362,0.051,A,
10/17/25,Dsec,7,4,0.789,0.335,0.0464,A,
10/17/25,Dsec,7,5,0.747,0.315,0.0388,A,
10/17/25,Dsec,7,6,0.693,0.325,0.0383,A,
10/17/25,Dsec,7,7,0.844,0.384,0.0652,A,
10/17/25,Dsec,7,8,0.796,0.361,0.0543,A,
10/17/25,Dsec,7,9,0.724,0.399,0.0604,A,
10/17/25,Dsec,7,10,0.779,0.348,0.0494,A,
10/17/25,Dsec,7,11,0.772,0.381,0.0587,A,
10/17/25,Dsec,7,12,0.866,0.346,0.0543,A,
10/17/25,Dsec,7,13,0.853,0.311,0.0432,A,
10/17/25,Dsec,7,14,1.049,0.335,0.0616,A,
10/17/25,Dsec,7,15,0.739,0.342,0.0453,A,
10/17/25,Dsec,7,16,0.742,0.399,0.0619,A,
10/17/25,Dsec,7,17,0.682,0.333,0.0396,A,
10/17/25,Dsec,7,18,0.754,0.366,0.0529,A,
10/17/25,Dsec,7,19,0.821,0.307,0.0405,A,
10/17/25,Dsec,7,20,0.941,0.323,0.0514,A,
10/17/25,Dsec,7,21,0.675,0.34,0.0409,A,
10/17/25,Dsec,7,22,0.788,0.292,0.0352,A,
10/17/25,Dsec,7,23,0.751,0.323,0.041,A,
10/17/25,Dsec,7,24,0.734,0.342,0.045,A,
10/17/25,Dsec,7,25,0.759,0.363,0.0524,A,
10/17/25,Dsec,7,26,0.768,0.357,0.0513,A,
10/17/25,Dsec,7,27,0.678,0.352,0.044,A,
10/17/25,Dsec,7,28,0.813,0.379,0.0611,A,
10/17/25,Dsec,7,29,0.71,0.356,0.0471,A,
10/17/25,Dsec,7,30,0.819,0.349,0.0522,A,
10/1/25,Dsec ,28,1,0.703,0.319,0.0375,B,30
10/1/25,Dsec ,28,2,0.712,0.392,0.0573,B,
10/1/25,Dsec ,28,3,0.679,0.316,0.0355,B,
10/1/25,Dsec ,28,4,0.635,0.345,0.0396,B,
10/1/25,Dsec ,28,5,0.686,0.348,0.0435,B,
10/1/25,Dsec ,28,6,0.561,0.301,0.0266,B,
10/1/25,Dsec ,28,7,0.657,0.343,0.0405,B,
10/1/25,Dsec ,28,8,0.711,0.308,0.0353,B,
10/1/25,Dsec ,28,9,0.74,0.38,0.0559,B,
10/1/25,Dsec ,28,10,0.807,0.328,0.0455,B,
10/1/25,Dsec ,28,11,0.781,0.39,0.0622,B,
10/1/25,Dsec ,28,12,0.683,0.368,0.0484,B,
10/1/25,Dsec ,28,13,0.693,0.334,0.0405,B,
10/1/25,Dsec ,28,14,0.662,0.372,0.048,B,
10/1/25,Dsec ,28,15,0.739,0.343,0.0455,B,
10/1/25,Dsec ,28,16,0.749,0.373,0.0546,B,
10/1/25,Dsec ,28,17,0.677,0.365,0.0472,B,
10/1/25,Dsec ,28,18,0.684,0.32,0.0367,B,
10/1/25,Dsec ,28,19,0.676,0.346,0.0424,B,
10/1/25,Dsec ,28,20,0.676,0.416,0.0613,B,
10/1/25,Dsec ,28,21,0.718,0.32,0.0385,B,
10/1/25,Dsec ,28,22,0.656,0.328,0.037,B,
10/1/25,Dsec ,28,23,0.712,0.316,0.0372,B,
10/1/25,Dsec ,28,24,0.699,0.34,0.0423,B,
10/1/25,Dsec ,28,25,0.688,0.326,0.0383,B,
10/1/25,Dsec ,28,26,0.686,0.296,0.0315,B,
10/1/25,Dsec ,28,27,0.7,0.318,0.0371,B,
10/1/25,Dsec ,28,28,0.676,0.336,0.04,B,
10/1/25,Dsec ,28,29,0.59,0.303,0.0284,B,
10/1/25,Dsec ,28,30,0.706,0.351,0.0455,B,
10/17/25,Dsec,P7611,1,0.694,0.302,0.0331,C,35
10/17/25,Dsec,P7611,2,0.763,0.367,0.0538,C,
10/17/25,Dsec,P7611,3,0.693,0.439,0.0699,C,
10/17/25,Dsec,P7611,4,0.683,0.405,0.0587,C,
10/17/25,Dsec,P7611,5,0.818,0.443,0.0841,C,
10/31/25,Dsec,P7611,1,0.817,0.447,0.0855,C,
10/31/25,Dsec,P7611,2,0.861,0.356,0.0571,C,
10/31/25,Dsec,P7611,3,0.755,0.381,0.0574,C,
10/31/25,Dsec,P7611,4,0.786,0.395,0.0642,C,
10/31/25,Dsec,P7611,5,0.787,0.388,0.062,C,
10/31/25,Dsec,P7611,6,0.809,0.357,0.054,C,
10/31/25,Dsec,P7611,7,0.827,0.341,0.0504,C,
10/31/25,Dsec,P7611,8,0.718,0.377,0.0534,C,
10/31/25,Dsec,P7611,9,0.703,0.394,0.0571,C,
10/31/25,Dsec,P7611,10,0.727,0.347,0.0458,C,
10/31/25,Dsec,P7611,11,0.793,0.4,0.0664,C,
10/31/25,Dsec,P7611,12,0.784,0.415,0.0707,C,
10/31/25,Dsec,P7611,13,0.914,0.391,0.0732,C,
10/31/25,Dsec,P7611,14,0.76,0.372,0.0551,C,
10/31/25,Dsec,P7611,15,0.815,0.34,0.0493,C,
10/31/25,Dsec,P7611,16,0.763,0.38,0.0577,C,
10/31/25,Dsec,P7611,17,0.731,0.358,0.0491,C,
10/31/25,Dsec,P7611,18,0.822,0.445,0.0852,C,
10/31/25,Dsec,P7611,19,0.752,0.34,0.0455,C,
10/31/25,Dsec,P7611,20,0.758,0.394,0.0616,C,
10/31/25,Dsec,P7611,21,0.758,0.357,0.0506,C,
10/31/25,Dsec,P7611,22,0.78,0.41,0.0687,C,
10/31/25,Dsec,P7611,23,0.662,0.413,0.0591,C,
10/31/25,Dsec,P7611,24,0.831,0.419,0.0764,C,
10/31/25,Dsec,P7611,25,0.71,0.431,0.0691,C,
10/31/25,Dsec,P7611,26,0.829,0.429,0.0799,C,
10/31/25,Dsec,P7611,27,0.768,0.315,0.0399,C,
10/31/25,Dsec,P7611,28,0.74,0.393,0.0598,C,
10/31/25,Dsec,P7611,29,0.745,0.364,0.0517,C,
10/31/25,Dsec,P7611,30,0.769,0.431,0.0748,C,
10/1/25,Dsec,P7621,1,0.642,0.329,0.0364,D,41
10/1/25,Dsec,P7621,2,0.599,0.315,0.0311,D,
10/1/25,Dsec,P7621,3,0.574,0.269,0.0217,D,
10/1/25,Dsec,P7621,4,0.628,0.306,0.0308,D,
10/1/25,Dsec,P7621,5,0.692,0.321,0.0373,D,
10/17/25,Dsec,P7621,1,0.784,0.359,0.0529,D,
10/17/25,Dsec,P7621,2,0.713,0.335,0.0419,D,
10/17/25,Dsec,P7621,3,0.636,0.393,0.0514,D,
10/17/25,Dsec,P7621,4,0.665,0.371,0.0479,D,
10/17/25,Dsec,P7621,5,0.771,0.422,0.0719,D,
10/17/25,Dsec,P7621,6,0.746,0.422,0.0696,D,
10/17/25,Dsec,P7621,1,0.701,0.344,0.0434,D,
10/17/25,Dsec,P7621,2,0.713,0.348,0.0452,D,
10/17/25,Dsec,P7621,3,0.736,0.352,0.0477,D,
10/17/25,Dsec,P7621,4,0.851,0.372,0.0617,D,
10/17/25,Dsec,P7621,5,0.707,0.378,0.0529,D,
10/17/25,Dsec,P7621,6,0.72,0.337,0.0428,D,
10/17/25,Dsec,P7621,7,0.711,0.301,0.0337,D,
10/17/25,Dsec,P7621,8,0.74,0.365,0.0516,D,
10/17/25,Dsec,P7621,9,0.706,0.337,0.042,D,
10/17/25,Dsec,P7621,10,0.697,0.317,0.0367,D,
10/17/25,Dsec,P7621,11,0.864,0.291,0.0383,D,
10/17/25,Dsec,P7621,12,0.787,0.35,0.0505,D,
10/17/25,Dsec,P7621,13,0.795,0.356,0.0528,D,
10/17/25,Dsec,P7621,14,0.698,0.361,0.0476,D,
10/17/25,Dsec,P7621,15,0.692,0.318,0.0366,D,
10/17/25,Dsec,P7621,16,0.742,0.344,0.046,D,
10/17/25,Dsec,P7621,17,0.706,0.346,0.0443,D,
10/17/25,Dsec,P7621,18,0.688,0.354,0.0451,D,
10/17/25,Dsec,P7621,19,0.707,0.365,0.0493,D,
10/17/25,Dsec,P7621,20,0.735,0.354,0.0482,D,
10/17/25,Dsec,P7621,21,0.725,0.317,0.0381,D,
10/17/25,Dsec,P7621,22,0.808,0.347,0.0509,D,
10/17/25,Dsec,P7621,23,0.744,0.362,0.051,D,
10/17/25,Dsec,P7621,24,0.724,0.308,0.036,D,
10/17/25,Dsec,P7621,25,0.691,0.352,0.0448,D,
10/17/25,Dsec,P7621,26,0.796,0.357,0.0531,D,
10/17/25,Dsec,P7621,27,0.715,0.382,0.0546,D,
10/17/25,Dsec,P7621,28,0.755,0.334,0.0441,D,
10/17/25,Dsec,P7621,29,0.739,0.357,0.0493,D,
10/17/25,Dsec,P7621,30,0.789,0.382,0.0603,D,
10/17/25,Dsec,A3F311,1,0.795,0.371,0.0573,E,28
10/17/25,Dsec,A3F311,2,0.758,0.376,0.0561,E,
10/17/25,Dsec,A3F311,3,0.828,0.352,0.0537,E,
10/17/25,Dsec,A3F311,4,0.86,0.338,0.0514,E,
10/17/25,Dsec,A3F311,5,0.679,0.397,0.056,E,
10/17/25,Dsec,A3F311,6,0.825,0.331,0.0473,E,
10/17/25,Dsec,A3F311,7,0.763,0.338,0.0456,E,
10/17/25,Dsec,A3F311,8,0.814,0.377,0.0606,E,
10/1/25,Dsec,A3F311,1,0.656,0.323,0.0358,E,
10/1/25,Dsec,A3F311,2,0.703,0.349,0.0448,E,
10/1/25,Dsec,A3F311,3,0.677,0.313,0.0347,E,
10/1/25,Dsec,A3F311,4,0.649,0.358,0.0436,E,
10/1/25,Dsec,A3F311,5,0.77,0.312,0.0392,E,
10/1/25,Dsec,A3F311,6,0.639,0.312,0.0326,E,
10/1/25,Dsec,A3F311,7,0.743,0.326,0.0413,E,
10/1/25,Dsec,A3F311,8,0.637,0.294,0.0288,E,
10/1/25,Dsec,A3F311,9,0.745,0.328,0.042,E,
10/1/25,Dsec,A3F311,10,0.718,0.314,0.0371,E,
10/1/25,Dsec,A3F311,11,0.759,0.302,0.0362,E,
10/1/25,Dsec,A3F311,12,0.622,0.341,0.0379,E,
10/1/25,Dsec,A3F311,13,0.651,0.324,0.0358,E,
10/1/25,Dsec,A3F311,14,0.821,0.342,0.0503,E,
10/1/25,Dsec,A3F311,15,0.709,0.303,0.0341,E,
10/1/25,Dsec,A3F311,16,0.697,0.339,0.0419,E,
10/1/25,Dsec,A3F311,17,0.795,0.312,0.0405,E,
10/1/25,Dsec,A3F311,18,0.779,0.318,0.0412,E,
10/1/25,Dsec,A3F311,19,0.777,0.358,0.0521,E,
10/1/25,Dsec,A3F311,20,0.838,0.329,0.0475,E,
10/1/25,Dsec ,A3312,1,0.716,0.32,0.0384,F,40
10/1/25,Dsec ,A3312,2,0.764,0.354,0.0501,F,
10/1/25,Dsec ,A3312,3,0.795,0.34,0.0481,F,
10/1/25,Dsec ,A3312,4,0.745,0.345,0.0464,F,
10/1/25,Dsec ,A3312,5,0.827,0.326,0.046,F,
10/1/25,Dsec ,A3312,6,0.74,0.351,0.0477,F,
10/1/25,Dsec ,A3312,7,0.782,0.273,0.0305,F,
10/1/25,Dsec ,A3312,8,0.718,0.407,0.0623,F,
10/1/25,Dsec ,A3312,9,0.791,0.329,0.0448,F,
10/1/25,Dsec ,A3312,10,0.758,0.361,0.0517,F,
10/17/25,Dsec,A3312,1,0.723,0.34,0.0438,F,
10/17/25,Dsec,A3312,2,0.706,0.421,0.0655,F,
10/17/25,Dsec,A3312,3,0.672,0.338,0.0402,F,
10/17/25,Dsec,A3312,4,0.772,0.33,0.044,F,
10/17/25,Dsec,A3312,5,0.761,0.288,0.033,F,
10/17/25,Dsec,A3312,6,0.793,0.391,0.0635,F,
10/17/25,Dsec,A3312,7,0.759,0.321,0.0409,F,
10/17/25,Dsec,A3312,8,0.731,0.41,0.0643,F,
10/17/25,Dsec,A3312,9,0.75,0.395,0.0613,F,
10/17/25,Dsec,A3312,10,0.805,0.387,0.0631,F,
10/17/25,Dsec,A3312,11,0.751,0.311,0.038,F,
10/17/25,Dsec,A3312,12,0.79,0.316,0.0413,F,
10/17/25,Dsec,A3312,13,0.687,0.325,0.038,F,
10/17/25,Dsec,A3312,14,0.737,0.325,0.0408,F,
10/17/25,Dsec,A3312,15,0.783,0.404,0.0669,F,
10/17/25,Dsec,A3312,16,0.769,0.429,0.0741,F,
10/17/25,Dsec,A3312,17,0.789,0.363,0.0544,F,
10/17/25,Dsec,A3312,18,0.765,0.339,0.046,F,
10/17/25,Dsec,A3312,19,0.835,0.334,0.0488,F,
10/17/25,Dsec,A3312,20,0.817,0.356,0.0542,F,
10/17/25,Dsec,A3312,21,0.779,0.399,0.0649,F,
10/17/25,Dsec,A3312,22,0.796,0.295,0.0363,F,
10/17/25,Dsec,A3312,23,0.862,0.323,0.0471,F,
10/17/25,Dsec,A3312,24,0.756,0.324,0.0416,F,
10/17/25,Dsec,A3312,25,0.855,0.343,0.0527,F,
10/17/25,Dsec,A3312,26,0.752,0.325,0.0416,F,
10/17/25,Dsec,A3312,27,0.75,0.377,0.0558,F,
10/17/25,Dsec,A3312,28,0.76,0.32,0.0407,F,
10/17/25,Dsec,A3312,29,0.762,0.411,0.0674,F,
10/17/25,Dsec,A3312,30,0.822,0.404,0.0702,F,
10/1/25,Dsec,M1311,1,0.765,0.417,0.0697,G,30
10/1/25,Dsec,M1311,2,0.821,0.348,0.0521,G,
10/1/25,Dsec,M1311,3,0.869,0.379,0.0654,G,
10/1/25,Dsec,M1311,4,0.795,0.334,0.0464,G,
10/1/25,Dsec,M1311,5,0.793,0.437,0.0793,G,
10/1/25,Dsec,M1311,6,0.792,0.353,0.0517,G,
10/1/25,Dsec,M1311,7,0.698,0.384,0.0539,G,
10/1/25,Dsec,M1311,8,0.788,0.391,0.0631,G,
10/1/25,Dsec,M1311,9,0.867,0.386,0.0676,G,
10/1/25,Dsec,M1311,10,0.78,0.328,0.0439,G,
10/17/25,Dsec,M1311,11,0.861,0.382,0.0658,G,
10/17/25,Dsec,M1311,12,0.832,0.345,0.0519,G,
10/17/25,Dsec,M1311,13,0.892,0.394,0.0725,G,
10/17/25,Dsec,M1311,14,0.857,0.374,0.0628,G,
10/17/25,Dsec,M1311,15,0.843,0.47,0.0975,G,
10/17/25,Dsec,M1311,16,0.865,0.398,0.0717,G,
10/17/25,Dsec,M1311,17,0.843,0.392,0.0678,G,
10/17/25,Dsec,M1311,18,0.807,0.4,0.0676,G,
10/17/25,Dsec,M1311,19,0.826,0.451,0.088,G,
10/17/25,Dsec,M1311,20,0.858,0.398,0.0712,G,
10/17/25,Dsec,M1311,21,0.919,0.387,0.0721,G,
10/17/25,Dsec,M1311,22,0.891,0.479,0.107,G,
10/17/25,Dsec,M1311,23,0.798,0.395,0.0652,G,
10/17/25,Dsec,M1311,24,0.81,0.35,0.052,G,
10/17/25,Dsec,M1311,25,0.905,0.443,0.093,G,
10/17/25,Dsec,M1311,26,0.85,0.414,0.0763,G,
10/17/25,Dsec,M1311,27,0.849,0.354,0.0557,G,
10/17/25,Dsec,M1311,28,0.741,0.411,0.0655,G,
10/17/25,Dsec,M1311,29,0.898,0.393,0.0726,G,
10/17/25,Dsec,M1311,30,0.786,0.417,0.0716,G,
10/17/25,Dmel ,CS,2,0.6,0.324,0.033,H,25
10/17/25,Dmel ,CS,3,0.578,0.289,0.0253,H,
10/17/25,Dmel ,CS,4,0.712,0.277,0.0286,H,
10/17/25,Dmel ,CS,5,0.682,0.304,0.033,H,
10/17/25,Dmel ,CS,6,0.623,0.271,0.024,H,
10/17/25,Dmel ,CS,7,0.701,0.282,0.0292,H,
10/17/25,Dmel ,CS,8,0.659,0.282,0.0274,H,
10/17/25,Dmel ,CS,9,0.719,0.278,0.0291,H,
10/17/25,Dmel ,CS,10,0.668,0.246,0.0212,H,
10/17/25,Dmel ,CS,11,0.764,0.294,0.0346,H,
10/17/25,Dmel ,CS,13,0.622,0.252,0.0207,H,
10/17/25,Dmel ,CS,14,0.623,0.287,0.0269,H,
10/17/25,Dmel ,CS,15,0.748,0.342,0.0458,H,
10/17/25,Dmel ,CS,16,0.719,0.367,0.0507,H,
10/17/25,Dmel ,CS,17,0.578,0.31,0.0291,H,
10/17/25,Dmel ,CS,18,0.7,0.328,0.0394,H,
10/17/25,Dmel ,CS,19,0.619,0.323,0.0338,H,
10/17/25,Dmel ,CS,20,0.731,0.349,0.0466,H,
10/17/25,Dmel ,CS,21,0.74,0.312,0.0377,H,
10/17/25,Dmel ,CS,22,0.669,0.284,0.0283,H,
10/17/25,Dmel ,CS,23,0.602,0.342,0.0369,H,
10/17/25,Dmel ,CS,25,0.632,0.354,0.0415,H,
10/17/25,Dmel ,CS,27,0.683,0.39,0.0544,H,
10/17/25,Dmel ,CS,28,0.693,0.402,0.0586,H,
10/17/25,Dmel ,CS,30,0.651,0.333,0.0378,H,
